experiment	gene_identifier	log2_fc	n_trt	n_ctl	expression_ctl0	p	p_bh
4	296840_at	0.07641196	3	2	2.166	0.851337928	0.973731454
4	362590_at	0.07641196	3	2	3.113	0.89683161	0.98351022
4	304530_at	-0.378737542	3	2	2.361	0.337001911	0.852565729
4	84508_at	0.607973422	3	2	3.553	0.082746676	0.777188846
4	100362785_at	0.684385382	3	2	1.328	0.142382074	0.793707823
4	54263_at	-2.156146179	3	2	1.354	0.023324794	0.717562504
4	305826_at	0.787375415	3	2	2.651	0.12398513	0.793707823
4	287561_at	-3.205980066	3	2	1.366	0.074332167	0.777188846
4	140868_at	1.009966777	3	2	3.818	0.159666631	0.796483468
4	288557_at	-0.07641196	3	2	3.263	0.814853593	0.967391803
4	312511_at	-0.11627907	3	2	2.676	0.708193938	0.939763036
4	100359678_at	-0.674418605	3	2	2.003	0.136572974	0.793707823
4	360847_at	-1.50166113	3	2	1.75	0.061891068	0.76454426
4	25453_at	-1.365448505	3	2	1.152	0.102696223	0.786526624
4	297865_at	-1.136212625	3	2	1.287	0.024470635	0.717562504
4	299639_at	-0.262458472	3	2	2.6	0.408196438	0.868584432
4	499285_at	-1.946843854	3	2	1.584	0.112141299	0.79135753
4	309630_at	0.079734219	3	2	2.433	0.797322469	0.964085866
4	81513_at	-0.897009967	3	2	2.434	0.068208055	0.777188846
4	360725_at	-0.671096346	3	2	3	0.162304433	0.797098194
4	293650_at	-1.069767442	3	2	2.69	0.023821884	0.717562504
4	78956_at	0.588039867	3	2	1.143	0.763866173	0.957219458
4	29298_at	-0.84717608	3	2	4.238	0.229421046	0.816941853
4	310781_at	-0.800664452	3	2	1.355	0.446719648	0.880900673
4	315338_at	1.717607973	3	2	1.767	0.008531423	0.56794547
4	63837_at	0.368770764	3	2	1.802	0.430484486	0.87661013
4	83567_at	-0.508305648	3	2	1.215	0.686687843	0.936559521
4	291091_at	-0.159468439	3	2	2.55	0.682428958	0.936209537
4	686323_at	0.425249169	3	2	2.849	0.217209507	0.814480001
4	24938_at	0.016611296	3	2	1.662	0.960779358	0.994155606
4	307604_at	0.063122924	3	2	2.221	0.906235461	0.984920131
4	291964_at	-0.524916944	3	2	2.176	0.209183825	0.812693428
4	171358_at	0.983388704	3	2	1.415	0.369688434	0.86298166
4	315409_at	0.900332226	3	2	1.165	0.411075107	0.869796571
4	689593_at	0.179401993	3	2	3.044	0.572223004	0.908464847
4	363248_at	-0.019933555	3	2	4.333	0.940594182	0.990549776
4	192239_at	-0.112956811	3	2	1.163	0.927561831	0.988528336
