GeneID,GeneName,Biotype
ENSRNOG00000000001,Arsj,pseudogene
ENSRNOG00000000007,Gad1,protein_coding
ENSRNOG00000000008,Alx4,protein_coding
ENSRNOG00000000009,Tmco5b,protein_coding
ENSRNOG00000000010,Cbln1,protein_coding
ENSRNOG00000000012,Tcf15,protein_coding
ENSRNOG00000000017,Steap1,protein_coding
ENSRNOG00000000021,AABR07061902.1,pseudogene
ENSRNOG00000000024,Hebp1,protein_coding
ENSRNOG00000000033,Tmcc2,protein_coding
ENSRNOG00000000034,Nuak2,protein_coding
ENSRNOG00000000035,Tmed11,protein_coding
ENSRNOG00000000036,Klhdc8a,protein_coding
ENSRNOG00000000040,RGD1304622,protein_coding
ENSRNOG00000000041,Slc26a1,protein_coding
ENSRNOG00000000042,Xpr1,protein_coding
ENSRNOG00000000043,Idua,protein_coding
ENSRNOG00000000044,Tmem175,protein_coding
ENSRNOG00000000047,Cd82,protein_coding
ENSRNOG00000000048,Gak,protein_coding
ENSRNOG00000000053,Crp,protein_coding
ENSRNOG00000000054,Abhd8,protein_coding
ENSRNOG00000000055,Fcrl6,protein_coding
ENSRNOG00000000060,Cplx1,protein_coding
ENSRNOG00000000062,Pcgf3,protein_coding
ENSRNOG00000000064,Atp5i,protein_coding
ENSRNOG00000000065,Pde6b,protein_coding
ENSRNOG00000000066,Fbxo28,protein_coding
ENSRNOG00000000068,Ppp2r5a,protein_coding
ENSRNOG00000000070,Dr1,protein_coding
ENSRNOG00000000073,Tmed5,protein_coding
ENSRNOG00000000075,Mtf2,protein_coding
ENSRNOG00000000081,Antxr2,protein_coding
ENSRNOG00000000082,Hltf,protein_coding
ENSRNOG00000000091,Smad9,protein_coding
ENSRNOG00000000095,Gpr89b,protein_coding
ENSRNOG00000000096,Pdzk1,protein_coding
ENSRNOG00000000097,Cd160,protein_coding
ENSRNOG00000000098,Rnf115,protein_coding
ENSRNOG00000000104,Thoc3,protein_coding
ENSRNOG00000000105,Cplx2,protein_coding
ENSRNOG00000000108,Aga,protein_coding
ENSRNOG00000000109,Fgf20,protein_coding
ENSRNOG00000000111,Coprs,protein_coding
ENSRNOG00000000112,Champ1,protein_coding
ENSRNOG00000000113,Elac1,protein_coding
ENSRNOG00000000121,Pigv,protein_coding
ENSRNOG00000000122,Ak2,protein_coding
ENSRNOG00000000123,Rnf19b,protein_coding
ENSRNOG00000000124,AABR07065970.1,protein_coding
ENSRNOG00000000127,Kpna6,protein_coding
ENSRNOG00000000129,RGD1559864,protein_coding
ENSRNOG00000000130,Dnajb5,protein_coding
ENSRNOG00000000133,Txndc15,protein_coding
ENSRNOG00000000137,Ly86,protein_coding
ENSRNOG00000000138,Glis1,protein_coding
ENSRNOG00000000142,Plxdc2,protein_coding
ENSRNOG00000000145,Pik3r3,protein_coding
ENSRNOG00000000150,Dnajc1,protein_coding
ENSRNOG00000000151,Ldlrap1,protein_coding
ENSRNOG00000000155,Cog3,protein_coding
ENSRNOG00000000156,Megf6,protein_coding
ENSRNOG00000000157,Atg12,protein_coding
ENSRNOG00000000158,Cdo1,protein_coding
ENSRNOG00000000161,Chm,protein_coding
ENSRNOG00000000164,Lamp2,protein_coding
ENSRNOG00000000165,Pfkfb1,protein_coding
ENSRNOG00000000166,Apex2,protein_coding
ENSRNOG00000000167,Alas2,protein_coding
ENSRNOG00000000168,Gatm,protein_coding
ENSRNOG00000000169,Spata5l1,protein_coding
ENSRNOG00000000170,Slc30a4,protein_coding
ENSRNOG00000000172,Sqrdl,protein_coding
ENSRNOG00000000175,Mier2,protein_coding
ENSRNOG00000000177,Ppap2c,protein_coding
ENSRNOG00000000184,Tmprss6,protein_coding
