GeneID	2377_cont_diet	2378_cont_diet	2379_cont_diet	2380_cont_diet	2381_cont_diet	2382_acet_diet	2383_acet_diet	2384_acet_diet	2385_acet_diet	2386_acet_diet	2427_Clo	2428_Clo	2429_Clo	2430_Clo	2431_Clo	2432_PB	2433_PB	2434_PB	2435_PB	2436_PB
ENSRNOG00000049398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058649	27	18	13	23	15	16	11	17	8	14	12	12	18	7	13	14	19	16	25	19
ENSRNOG00000018372	498	439	443	484	472	364	290	324	356	413	309	313	312	371	310	545	593	587	620	553
ENSRNOG00000047633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016574	242	241	288	282	275	200	214	216	224	185	175	163	194	201	206	272	288	326	306	289
ENSRNOG00000022286	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
ENSRNOG00000004415	426	366	399	527	529	325	300	388	339	345	223	342	262	280	272	449	503	502	495	556
ENSRNOG00000002428	0	1	0	4	0	0	1	0	2	1	4	3	0	1	3	1	2	4	0	2
ENSRNOG00000000048	2626	2342	2555	2783	2711	1938	1698	1917	2010	2235	1493	1585	1525	1575	1486	2585	3040	2781	2710	2783
ENSRNOG00000004195	6	3	5	4	3	2	2	4	3	1	14	6	6	4	10	16	13	11	16	22
ENSRNOG00000033942	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000037080	23	17	33	24	19	24	17	18	14	14	8	17	19	5	10	25	18	23	25	11
ENSRNOG00000001711	33	23	34	17	19	9	4	7	7	11	1	2	1	0	2	17	18	27	26	15
ENSRNOG00000015292	2113	2001	1925	2328	2520	1828	1927	1844	1494	1982	1605	1538	1403	1239	1187	2747	2532	2298	2110	1993
ENSRNOG00000003977	1385	7423	2449	1765	1038	5109	2377	1840	722	1195	448	1037	743	560	840	2885	3129	1217	1475	992
ENSRNOG00000057262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000007548	422	421	443	549	554	402	307	335	315	405	254	242	250	253	258	438	500	454	560	513
